rank	gene_id	symbol	u_stat_igha1_vs_ighg1	pvalue	mean_log1p_igha1	mean_log1p_ighg1	diff_mean_log1p_igha1_minus_ighg1	mean_norm_igha1	mean_norm_ighg1	log2fc_norm_igha1_vs_ighg1	pct_detected_igha1	pct_detected_ighg1	qvalue_bh	gene	lavous_p	lavous_q	lrt	lavous_signif	wilcoxon_neg_log10_p	log2fc_clipped	wilcoxon_bh_signif	lavous_q_signif	lavous_direction
7	ENSG00000136156	ITM2B	804.5	2.917894347749488e-08	1.180999808911842	2.0516871566244874	-0.8706873477126453	3.259273360865757	8.509023229319766	-1.384443172337504	0.7941176470588235	0.96	4.6106899114938686e-05						7.5349304372609645	-1.384443172337504	True	False	higher in IGHG1
8	ENSG00000004468	CD38	919.0	4.102982544717707e-07	2.8193079366986558	3.253266488313784	-0.4339585516151283	17.089725916193167	28.673956643262223	-0.746611732585212	1.0	0.984	0.000567288624089						6.386900330644324	-0.746611732585212	True	False	higher in IGHG1
9	ENSG00000137267	TUBB2A	2437.5	1.4567238118322784e-05	0.11527757708844	0.0	0.11527757708844	0.1895462076068894	0.0	27.49797435842601	0.1470588235294117	0.0	0.0179031356474187						4.836622780671458	8.0	True	False	higher in IGHA1
11	ENSG00000119729	RHOQ	3041.5	8.963330362578504e-05	1.1313590098683024	0.6306809000799102	0.5006781097883922	2.737742022374678	1.2892268791967998	1.0864803344614449	0.9117647058823528	0.608	0.0901303610368007						4.0475305964364106	1.0864803344614449	False	False	higher in IGHA1
12	ENSG00000262454	MIR193BHG	2713.0	0.0001269428191848	0.2690408280733625	0.0847574613216265	0.1842833667517359	0.3969315226118798	0.1478378195559174	1.4248747495926366	0.3823529411764705	0.104	0.110522027038472						3.8963918609708053	1.4248747495926366	False	False	higher in IGHA1
13	ENSG00000261386	AC027682.4	2626.0	0.0001324147275882	0.2316180871075353	0.0428029290918355	0.1888151580156998	0.3734750065635124	0.0629463586173259	2.5688168531135784	0.2941176470588235	0.064	0.110522027038472						3.8780637085928755	2.5688168531135784	False	False	higher in IGHA1
14	ENSG00000213096	ZNF254	2740.0	0.0001557946557378	0.3324624318875514	0.0964142886921939	0.2360481431953574	0.5466627365416985	0.155440806542261	1.814285738602575	0.4117647058823529	0.128	0.110522027038472						3.8074474441178285	1.814285738602575	False	False	higher in IGHA1
15	ENSG00000117318	ID3	2466.0	0.0001592231133185	0.1191274913705964	0.0132665522525544	0.1058609391180419	0.1759690878234899	0.0236273285978336	2.8967935359301373	0.1764705882352941	0.016	0.110522027038472						3.797993888494862	2.8967935359301373	False	False	higher in IGHA1
16	ENSG00000081985	IL12RB2	2503.0	0.0001641338177085	0.1266157687564093	0.0283279557217245	0.0982878130346848	0.17902845286678	0.0596462439083889	1.5856856807639843	0.2058823529411764	0.024	0.110522027038472						3.784801928812425	1.5856856807639843	False	False	higher in IGHA1
17	ENSG00000227039	ITGB2-AS1	2421.0	0.0001698647915788	0.1101745930921067	0.0045993533190936	0.1055752397730131	0.1911277028892394	0.0062158950253805	4.942430729674696	0.1470588235294117	0.008	0.110522027038472						3.7698966294159644	4.942430729674696	False	False	higher in IGHA1
18	ENSG00000166501	PRKCB	3006.0	0.0001889218431721	1.3014239613140244	0.8083619407625064	0.4930620205515179	3.4359175741982138	1.729463739542973	0.9903706609547962	0.8823529411764706	0.696	0.1141355754018547						3.723717825981388	0.9903706609547962	False	False	higher in IGHA1
19	ENSG00000132465	JCHAIN	3012.0	0.0001960560467078	6.303670827232424	5.718837908259459	0.5848329189729649	588.4424210765799	407.014879922752	0.5318197164018164	1.0	1.0	0.1141355754018547	JCHAIN	0.0204897551224387	0.10039980009995	173.3125	False	3.70761975876375	0.5318197164018164	False	False	higher in IGHA1
21	ENSG00000197372	ZNF675	2671.0	0.0002339467813593	0.2764339949205124	0.0753234071991077	0.2011105877214046	0.4349686174034831	0.1188561815314335	1.8716943691053956	0.3529411764705882	0.096	0.1232231118388604						3.6308829254558184	1.8716943691053956	False	False	higher in IGHA1
22	ENSG00000124201	ZNFX1	2709.5	0.0002692566536182	0.3261780963573208	0.0870051494793229	0.2391729468779979	0.547813022555686	0.1259523983304828	2.120804959728885	0.3823529411764705	0.128	0.1353749020759952						3.569833556018966	2.120804959728885	False	False	higher in IGHA1
23	ENSG00000145365	TIFA	2958.0	0.0002910594708347	0.896777496376322	0.5201088057907278	0.3766686905855941	1.7357747706197362	1.0342043084682382	0.7470585390291191	0.8529411764705882	0.52	0.1399742959523083						3.536018264565565	0.7470585390291191	False	False	higher in IGHA1
24	ENSG00000166454	ATMIN	2816.5	0.0003193597503561	0.3894005698918473	0.1707813626441437	0.2186192072477036	0.5823534454293461	0.2746275673368875	1.084418573619487	0.5588235294117647	0.224	0.14718492494537						3.4957198198811077	1.084418573619487	False	False	higher in IGHA1
25	ENSG00000100629	CEP128	1282.0	0.0003733758968671	0.7136668799521337	1.291065650023311	-0.5773987700711773	1.504140465403866	4.2689537118088206	-1.5049432183530853	0.6176470588235294	0.824	0.1651964318098925						3.4278537211900524	-1.5049432183530853	False	False	higher in IGHG1
26	ENSG00000197705	KLHL14	1322.0	0.0004348689015824	0.3600116584476167	1.053314003417059	-0.6933023449694422	0.808116787026432	4.774515383116737	-2.562718596617693	0.3235294117647059	0.632	0.1850032661693731						3.361641648563832	-2.562718596617693	False	False	higher in IGHG1
27	ENSG00000168795	ZBTB5	2489.5	0.0005091088572061	0.1498303398771876	0.0272403821895403	0.1225899576876473	0.2304140326316076	0.0445328049698837	2.371288165852066	0.2058823529411764	0.032	0.2051915609784164						3.293189347271691	2.371288165852066	False	False	higher in IGHA1
28	ENSG00000117090	SLAMF1	2873.0	0.0005194253419578	0.9213389921653105	0.3832700560890195	0.5380689360762909	2.890499199186117	0.7509537295086108	1.94452274821495	0.6470588235294118	0.376	0.2051915609784164						3.284476865634808	1.94452274821495	False	False	higher in IGHA1
29	ENSG00000137094	DNAJB5	2454.0	0.0005693742497377	0.1293891336584332	0.0133506357835665	0.1160384978748666	0.1985173538633477	0.0179575019594834	3.4666064783452373	0.1764705882352941	0.024	0.2171671922879241						3.2446021779507492	3.4666064783452373	False	False	higher in IGHA1
30	ENSG00000167799	NUDT8	2527.0	0.0006001438524134	0.1844310138425764	0.0354935159789974	0.148937497863579	0.2905172898220122	0.0556328772842155	2.3846143780806206	0.2352941176470588	0.048	0.2212730383848332						3.221744638247504	2.3846143780806206	False	False	higher in IGHA1
31	ENSG00000105974	CAV1	1316.0	0.0006574899364562	0.7758600874805865	1.190238327175236	-0.4143782396946496	1.5847610862126729	3.0910558537478217	-0.963834362308492	0.7647058823529411	0.832	0.2345966511981601						3.182110890100544	-0.963834362308492	False	False	higher in IGHG1
32	ENSG00000197747	S100A10	2930.0	0.0006934473007732	1.6222911215893552	1.1223586441806623	0.4999324774086928	5.604355762717134	3.58028186032408	0.6464753711621519	0.9117647058823528	0.776	0.2358756130472555						3.158986537983685	0.6464753711621519	False	False	higher in IGHA1
33	ENSG00000178996	SNX18	2776.0	0.0007037243676484	0.3853251058180956	0.1725343816616706	0.2127907241564249	0.5778999226359864	0.2681809262759575	1.1076130412228826	0.5294117647058824	0.232	0.2358756130472555						3.1525974105300687	1.1076130412228826	False	False	higher in IGHA1
34	ENSG00000092098	RNF31	2767.0	0.0007632919512643	0.4413186473665047	0.1779367955804835	0.2633818517860211	0.7525912414830735	0.2839487557134901	1.4062359067532304	0.5	0.232	0.2396980141250401						3.117309317128334	1.4062359067532304	False	False	higher in IGHA1
35	ENSG00000085741	WNT11	2446.0	0.000774129775293	0.1252602622596126	0.0264446211638933	0.0988156410957193	0.1842216929434717	0.0572952549370274	1.6849553696828867	0.1764705882352941	0.024	0.2396980141250401						3.1111862279873743	1.6849553696828867	False	False	higher in IGHA1
36	ENSG00000124155	PIGT	1328.5	0.0008046425383184	0.7992017506644489	1.1620721270879162	-0.3628703764234673	1.587610846982055	2.7108772857034857	-0.7719024828983535	0.7352941176470589	0.864	0.2396980141250401						3.0943970116993667	-0.7719024828983535	False	False	higher in IGHG1
37	ENSG00000142583	SLC2A5	1359.5	0.0008163197724413	0.2808721182083604	0.6532626655310588	-0.3723905473226984	0.4927144007349554	1.3024894962216311	-1.402448192752161	0.3235294117647059	0.64	0.2396980141250401						3.088139684134962	-1.402448192752161	False	False	higher in IGHG1
38	ENSG00000180644	PRF1	2552.5	0.0008249792390803	0.284628683711649	0.0702397458613292	0.2143889378503197	0.5626171285035667	0.1510145091189109	1.8974663012648985	0.2647058823529412	0.064	0.2396980141250401						3.0835569805001524	1.8974663012648985	False	False	higher in IGHA1
39	ENSG00000100219	XBP1	1330.0	0.0008451516635816	3.299793170721339	3.654852799801192	-0.3550596290798524	32.036092801013965	46.9468056625332	-0.5513287939571749	1.0	0.992	0.2396980141250401	XBP1	0.0004997501249375	0.0081625853739796	42.26172	True	3.073065349338696	-0.5513287939571749	False	True	higher in IGHG1
40	ENSG00000108604	SMARCD2	2828.0	0.0008773961943164	0.5574425792353901	0.2702775623325369	0.2871650169028532	0.9509261497038448	0.4334309936310865	1.1335309809974796	0.6470588235294118	0.336	0.2426219826333594						3.0568042536682194	1.1335309809974796	False	False	higher in IGHA1
41	ENSG00000156030	ELMSAN1	2746.0	0.0009463827370876	0.4438437361650622	0.1682877934730093	0.2755559426920529	0.9076406333727668	0.2685308941916421	1.7570331151524032	0.5	0.216	0.2553155964616172						3.023933190248231	1.7570331151524032	False	False	higher in IGHA1
42	ENSG00000117602	RCAN3	2403.5	0.0010182102584026	0.0862592928459301	0.0089055428532075	0.0773537499927226	0.118436604158788	0.0119474993970149	3.3093343224846934	0.1470588235294117	0.016	0.2681529444807427						2.9921625317877796	3.3093343224846934	False	False	higher in IGHA1
43	ENSG00000196517	SLC6A9	2402.5	0.001061763136693	0.1137758256377923	0.012102169445037	0.1016736561927552	0.1807058770908962	0.0183203882997075	3.3021213702010006	0.1470588235294117	0.016	0.2697134296676131						2.97397235698387	3.3021213702010006	False	False	higher in IGHA1
44	ENSG00000111679	PTPN6	2897.5	0.0010931024179521	1.2577198991859837	0.8339318987857051	0.4237880004002784	2.9827295108022724	1.8752485807271304	0.669551302111496	0.9705882352941176	0.704	0.2697134296676131						2.9613391450332527	0.669551302111496	False	False	higher in IGHA1
45	ENSG00000273619	AL121832.2	2360.0	0.0011208316553419	0.0750316567448463	0.0034371256145628	0.0715945311302835	0.1073293807480794	0.0042936423114624	4.643698915878255	0.1176470588235294	0.008	0.2697134296676131						2.9504596118887956	4.643698915878255	False	False	higher in IGHA1
46	ENSG00000182095	TNRC18	2740.5	0.0011491540209436	0.3897813234771894	0.1739762257634676	0.2158050977137217	0.6220636833196965	0.3021573604407175	1.0417621943431832	0.5	0.224	0.2697134296676131						2.9396217589853055	1.0417621943431832	False	False	higher in IGHA1
47	ENSG00000186265	BTLA	2795.0	0.001175030325188	0.568862521465293	0.2501623994875469	0.3187001219777461	1.1193178111018642	0.4125624882709732	1.4399351637375672	0.5882352941176471	0.312	0.2697134296676131						2.929950924973638	1.4399351637375672	False	False	higher in IGHA1
48	ENSG00000238058	AL355574.1	2359.0	0.0011769750425655	0.0871167170901266	0.0043931120749706	0.0827236050151559	0.1418122264710377	0.005854090764096	4.598392760696145	0.1176470588235294	0.008	0.2697134296676131						2.9292327461548684	4.598392760696145	False	False	higher in IGHA1
49	ENSG00000274712	AC005332.5	2630.0	0.0011948248850658	0.2656155426030203	0.0906187848027083	0.1749967578003119	0.4134562683766476	0.1460701256194142	1.5010735888392177	0.3529411764705882	0.12	0.2697134296676131						2.92269574075973	1.5010735888392177	False	False	higher in IGHA1
50	ENSG00000168916	ZNF608	2358.0	0.0012357072365999	0.0704610323863272	0.0049148329118762	0.065546199474451	0.0969556920231915	0.0067876985436292	3.83633100191638	0.1176470588235294	0.008	0.2733631548806377						2.90808440998314	3.83633100191638	False	False	higher in IGHA1
